Segment;Country; Product ; Discount Band ;Units Sold; Manufacturing Price ; Sale Price ; Gross Sales ; Discounts ; Sales ; COGS ; Profit ;Date;Month Number; Month Name ;Year
Retail Partner;France;Hybrid; High ;1980;$ 215,00;$ 311,75;$ 617.265,00;$ 154.316,25;$ 462.948,75;$ 446.985,00;$ 15.963,75;5/8/2017;8; August ;2017
Small Business;France;Hybrid; High ;1980;$ 215,00;$ 311,75;$ 617.265,00;$ 154.316,25;$ 462.948,75;$ 446.985,00;$ 15.963,75;5/3/2017;3; March ;2017
Small Business;Germany;Hybrid; Medium ;1968;$ 215,00;$ 311,75;$ 613.524,00;$ 122.704,80;$ 490.819,20;$ 444.276,00;$ 46.543,20;2/7/2017;7; July ;2017
Corporate;Germany;Hybrid; Low ;1821;$ 215,00;$ 311,75;$ 567.696,75;$ 56.769,68;$ 510.927,08;$ 411.090,75;$ 99.836,33;5/5/2017;5; May ;2017
Public Sector;Germany;Hybrid; High ;1792;$ 215,00;$ 311,75;$ 558.656,00;$ 139.664,00;$ 418.992,00;$ 404.544,00;$ 14.448,00;5/6/2017;6;June;2017
Individual;Germany;Hybrid; High ;1726;$ 215,00;$ 311,75;$ 538.080,50;$ 134.520,13;$ 403.560,38;$ 389.644,50;$ 13.915,88;5/5/2017;5; May ;2017
Retail Partner;Germany;Hybrid; None ;1713;$ 215,00;$ 311,75;$ 534.027,75;    ;$ 534.027,75;$ 386.709,75;$ 147.318,00;5/8/2017;8; August ;2017
Public Sector;France;Hybrid; Medium ;1661;$ 215,00;$ 311,75;$ 517.816,75;$ 103.563,35;$ 414.253,40;$ 374.970,75;$ 39.282,65;5/6/2017;6;June;2017
Individual;France;Hybrid; High ;1658;$ 215,00;$ 311,75;$ 516.881,50;$ 129.220,38;$ 387.661,13;$ 374.293,50;$ 13.367,63;5/5/2017;5; May ;2017
Public Sector;Finland;Hybrid; Medium ;1657;$ 215,00;$ 311,75;$ 516.569,75;$ 103.313,95;$ 413.255,80;$ 374.067,75;$ 39.188,05;5/9/2017;9; September ;2017
Public Sector;Germany;Hybrid; High ;1631;$ 215,00;$ 311,75;$ 508.464,25;$ 127.116,06;$ 381.348,19;$ 368.198,25;$ 13.149,94;5/3/2017;3; March ;2017
Retail Partner;Finland;Hybrid; High ;1612;$ 215,00;$ 311,75;$ 502.541,00;$ 125.635,25;$ 376.905,75;$ 363.909,00;$ 12.996,75;5/5/2017;5; May ;2017
Retail Partner;Germany;Hybrid; Low ;1591;$ 215,00;$ 311,75;$ 495.994,25;$ 99.198,85;$ 396.795,40;$ 359.168,25;$ 37.627,15;5/9/2017;9; September ;2017
Corporate;France;Hybrid; Medium ;1590;$ 215,00;$ 311,75;$ 495.682,50;$ 99.136,50;$ 396.546,00;$ 358.942,50;$ 37.603,50;5/1/2017;1; January ;2017
Retail Partner;Germany;Hybrid; None ;1562;$ 215,00;$ 311,75;$ 486.953,50;    ;$ 486.953,50;$ 352.621,50;$ 134.332,00;5/4/2017;4; April ;2017
Small Business;Germany;Hybrid; Low ;1533;$ 215,00;$ 311,75;$ 477.912,75;$ 47.791,28;$ 430.121,48;$ 346.074,75;$ 84.046,73;5/8/2017;8; August ;2017
Public Sector;Germany;Hybrid; Low ;1526;$ 215,00;$ 311,75;$ 475.730,50;$ 47.573,05;$ 428.157,45;$ 344.494,50;$ 83.662,95;5/9/2017;9; September ;2017
Public Sector;France;Hybrid; None ;1519;$ 215,00;$ 311,75;$ 473.548,25;    ;$ 473.548,25;$ 342.914,25;$ 130.634,00;5/6/2017;6; June ;2017
Individual;France;Hybrid; High ;1496;$ 215,00;$ 311,75;$ 466.378,00;$ 116.594,50;$ 349.783,50;$ 337.722,00;$ 12.061,50;5/11/2017;11; November ;2017
Public Sector;Germany;Hybrid; Low ;1492;$ 215,00;$ 311,75;$ 465.131,00;$ 46.513,10;$ 418.617,90;$ 336.819,00;$ 81.798,90;5/2/2017;2; February ;2017
Public Sector;Germany;Hybrid; Low ;1422;$ 215,00;$ 311,75;$ 443.308,50;$ 44.330,85;$ 398.977,65;$ 321.016,50;$ 77.961,15;5/12/2017;12; December ;2017
Retail Partner;Germany;Hybrid; High ;1416;$ 215,00;$ 311,75;$ 441.438,00;$ 110.359,50;$ 331.078,50;$ 319.662,00;$ 11.416,50;5/12/2017;12; December ;2017
Individual;Germany;Hybrid; High ;1394;$ 215,00;$ 311,75;$ 434.579,50;$ 108.644,88;$ 325.934,63;$ 314.695,50;$ 11.239,13;5/6/2017;6;June;2017
Public Sector;France;Hybrid; High ;1385;$ 215,00;$ 311,75;$ 431.773,75;$ 107.943,44;$ 323.830,31;$ 312.663,75;$ 11.166,56;5/6/2017;6;June;2017
Public Sector;Norway;Hybrid; High ;1382;$ 215,00;$ 311,75;$ 430.838,50;$ 107.709,63;$ 323.128,88;$ 311.986,50;$ 11.142,38;5/6/2017;6;June;2017
Public Sector;Norway;Hybrid; Medium ;1355;$ 215,00;$ 311,75;$ 422.421,25;$ 84.484,25;$ 337.937,00;$ 305.891,25;$ 32.045,75;5/11/2017;11; November ;2017
Public Sector;Germany;Hybrid; None ;1349;$ 215,00;$ 311,75;$ 420.550,75;    ;$ 420.550,75;$ 304.536,75;$ 116.014,00;5/7/2017;7; July ;2017
Public Sector;Germany;Hybrid; Medium ;1346;$ 215,00;$ 311,75;$ 419.615,50;$ 83.923,10;$ 335.692,40;$ 303.859,50;$ 31.832,90;5/7/2017;7; July ;2017
Public Sector;Norway;Hybrid; Medium ;1343;$ 215,00;$ 311,75;$ 418.680,25;$ 83.736,05;$ 334.944,20;$ 303.182,25;$ 31.761,95;5/9/2017;9; September ;2017
Corporate;Sweden;Hybrid; High ;1327;$ 215,00;$ 311,75;$ 413.692,25;$ 103.423,06;$ 310.269,19;$ 299.570,25;$ 10.698,94;5/1/2017;1; January ;2017
Corporate;Germany;Hybrid; Medium ;1316;$ 215,00;$ 311,75;$ 410.263,00;$ 82.052,60;$ 328.210,40;$ 297.087,00;$ 31.123,40;5/5/2017;5; May ;2017
Individual;Germany;Hybrid; Medium ;1304;$ 215,00;$ 311,75;$ 406.522,00;$ 81.304,40;$ 325.217,60;$ 294.378,00;$ 30.839,60;5/7/2017;7; July ;2017
Public Sector;Germany;Hybrid; Medium ;1216;$ 215,00;$ 311,75;$ 379.088,00;$ 75.817,60;$ 303.270,40;$ 274.512,00;$ 28.758,40;5/11/2017;11; November ;2017
Corporate;France;Hybrid; High ;1146;$ 215,00;$ 311,75;$ 357.265,50;$ 89.316,38;$ 267.949,13;$ 258.709,50;$ 9.239,63;5/3/2017;3; March ;2017
Public Sector;France;Hybrid; Medium ;1122;$ 215,00;$ 311,75;$ 349.783,50;$ 69.956,70;$ 279.826,80;$ 253.291,50;$ 26.535,30;5/12/2017;12; December ;2017
Retail Partner;France;Hybrid; High ;1114;$ 215,00;$ 311,75;$ 347.289,50;$ 86.822,38;$ 260.467,13;$ 251.485,50;$ 8.981,63;5/10/2017;10; October ;2017
Retail Partner;Norway;Hybrid; Medium ;1100;$ 215,00;$ 311,75;$ 342.925,00;$ 68.585,00;$ 274.340,00;$ 248.325,00;$ 26.015,00;5/12/2017;12; December ;2017
Small Business;Finland;Hybrid; Medium ;1098;$ 215,00;$ 311,75;$ 342.301,50;$ 68.460,30;$ 273.841,20;$ 247.873,50;$ 25.967,70;5/12/2017;12; December ;2017
Public Sector;Germany;Hybrid; Medium ;1093;$ 215,00;$ 311,75;$ 340.742,75;$ 68.148,55;$ 272.594,20;$ 246.744,75;$ 25.849,45;5/6/2017;6; June ;2017
Public Sector;Germany;Hybrid; Medium ;1080;$ 215,00;$ 311,75;$ 336.690,00;$ 67.338,00;$ 269.352,00;$ 243.810,00;$ 25.542,00;5/2/2017;2; February ;2017
Public Sector;Germany;Hybrid; Medium ;1026;$ 215,00;$ 311,75;$ 319.855,50;$ 63.971,10;$ 255.884,40;$ 231.619,50;$ 24.264,90;5/6/2017;6; June ;2017
Public Sector;Sweden;Hybrid; Medium ;1015;$ 215,00;$ 311,75;$ 316.426,25;$ 63.285,25;$ 253.141,00;$ 229.136,25;$ 24.004,75;5/3/2017;3; March ;2017
Small Business;Germany;Hybrid; Medium ;1000;$ 215,00;$ 311,75;$ 311.750,00;$ 62.350,00;$ 249.400,00;$ 225.750,00;$ 23.650,00;5/12/2017;12; December ;2017
Public Sector;Finland;Hybrid; Low ;989;$ 215,00;$ 311,75;$ 308.320,75;$ 30.832,08;$ 277.488,68;$ 223.266,75;$ 54.221,93;5/11/2017;11; November ;2017
Public Sector;Sweden;Hybrid; Medium ;982;$ 215,00;$ 311,75;$ 306.138,50;$ 61.227,70;$ 244.910,80;$ 221.686,50;$ 23.224,30;5/10/2017;10; October ;2017
Public Sector;France;Hybrid; High ;952;$ 215,00;$ 311,75;$ 296.786,00;$ 74.196,50;$ 222.589,50;$ 214.914,00;$ 7.675,50;5/6/2017;6; June ;2017
Public Sector;Germany;Hybrid; Medium ;927;$ 215,00;$ 311,75;$ 288.992,25;$ 57.798,45;$ 231.193,80;$ 209.270,25;$ 21.923,55;5/10/2017;10; October ;2017
Public Sector;Finland;Hybrid; None ;914;$ 215,00;$ 311,75;$ 284.939,50;    ;$ 284.939,50;$ 206.335,50;$ 78.604,00;5/10/2017;10; October ;2017
Public Sector;Sweden;Hybrid; Medium ;908;$ 215,00;$ 311,75;$ 283.069,00;$ 56.613,80;$ 226.455,20;$ 204.981,00;$ 21.474,20;5/6/2017;6; June ;2017
Retail Partner;Norway;Hybrid; Medium ;898;$ 215,00;$ 311,75;$ 279.951,50;$ 55.990,30;$ 223.961,20;$ 202.723,50;$ 21.237,70;5/8/2017;8; August ;2017
Public Sector;Sweden;Hybrid; Medium ;894;$ 215,00;$ 311,75;$ 278.704,50;$ 55.740,90;$ 222.963,60;$ 201.820,50;$ 21.143,10;5/3/2017;3; March ;2017
Small Business;Norway;Hybrid; Low ;881;$ 215,00;$ 311,75;$ 274.651,75;$ 27.465,18;$ 247.186,58;$ 198.885,75;$ 48.300,83;5/3/2017;3; March ;2017
Corporate;Norway;Hybrid; Low ;859;$ 215,00;$ 311,75;$ 267.793,25;$ 26.779,33;$ 241.013,93;$ 193.919,25;$ 47.094,68;5/4/2017;4; April ;2017
Public Sector;Norway;Hybrid; Medium ;830;$ 215,00;$ 311,75;$ 258.752,50;$ 51.750,50;$ 207.002,00;$ 187.372,50;$ 19.629,50;5/3/2017;3; March ;2017
Corporate;Germany;Hybrid; Medium ;795;$ 215,00;$ 311,75;$ 247.841,25;$ 49.568,25;$ 198.273,00;$ 179.471,25;$ 18.801,75;5/9/2017;9; September ;2017
Individual;Germany;Hybrid; Medium ;776;$ 215,00;$ 311,75;$ 241.918,00;$ 48.383,60;$ 193.534,40;$ 175.182,00;$ 18.352,40;5/11/2017;11; November ;2017
Corporate;Norway;Hybrid; High ;758;$ 215,00;$ 311,75;$ 236.306,50;$ 59.076,63;$ 177.229,88;$ 171.118,50;$ 6.111,38;5/9/2017;9; September ;2017
Public Sector;France;Hybrid; Low ;753;$ 215,00;$ 311,75;$ 234.747,75;$ 23.474,78;$ 211.272,98;$ 169.989,75;$ 41.283,23;5/11/2017;11; November ;2017
Small Business;Germany;Hybrid; High ;710;$ 215,00;$ 311,75;$ 221.342,50;$ 55.335,63;$ 166.006,88;$ 160.282,50;$ 5.724,38;5/3/2017;3; March ;2017
Small Business;France;Hybrid; High ;682;$ 215,00;$ 311,75;$ 212.613,50;$ 53.153,38;$ 159.460,13;$ 153.961,50;$ 5.498,63;5/12/2017;12; December ;2017
Public Sector;Finland;Hybrid; Medium ;582;$ 215,00;$ 311,75;$ 181.438,50;$ 36.287,70;$ 145.150,80;$ 131.386,50;$ 13.764,30;5/10/2017;10; October ;2017
Individual;Germany;Hybrid; Medium ;569;$ 215,00;$ 311,75;$ 177.385,75;$ 35.477,15;$ 141.908,60;$ 128.451,75;$ 13.456,85;5/12/2017;12; December ;2017
Public Sector;Sweden;Hybrid; Medium ;566;$ 215,00;$ 311,75;$ 176.450,50;$ 35.290,10;$ 141.160,40;$ 127.774,50;$ 13.385,90;5/6/2017;6; June ;2017
Public Sector;Sweden;Hybrid; High ;566;$ 215,00;$ 311,75;$ 176.450,50;$ 44.112,63;$ 132.337,88;$ 127.774,50;$ 4.563,38;5/9/2017;9; September ;2017
Individual;Finland;Hybrid; Low ;537;$ 215,00;$ 311,75;$ 167.409,75;$ 16.740,98;$ 150.668,78;$ 121.227,75;$ 29.441,03;5/10/2017;10; October ;2017
Small Business;Norway;Hybrid; Medium ;508;$ 215,00;$ 311,75;$ 158.369,00;$ 31.673,80;$ 126.695,20;$ 114.681,00;$ 12.014,20;5/12/2017;12; December ;2017
Individual;Finland;Hybrid; None ;492;$ 215,00;$ 311,75;$ 153.381,00;    ;$ 153.381,00;$ 111.069,00;$ 42.312,00;5/12/2017;12; December ;2017
Corporate;Finland;Hybrid; High ;463;$ 215,00;$ 311,75;$ 144.340,25;$ 36.085,06;$ 108.255,19;$ 104.522,25;$ 3.732,94;5/1/2017;1; January ;2017
Public Sector;Sweden;Hybrid; Medium ;442;$ 215,00;$ 311,75;$ 137.793,50;$ 27.558,70;$ 110.234,80;$ 99.781,50;$ 10.453,30;5/8/2017;8; August ;2017
Small Business;Norway;Hybrid; High ;437;$ 215,00;$ 311,75;$ 136.234,75;$ 34.058,69;$ 102.176,06;$ 98.652,75;$ 3.523,31;5/10/2017;10; October ;2017
Retail Partner;Germany;Hybrid; High ;378;$ 215,00;$ 311,75;$ 117.841,50;$ 29.460,38;$ 88.381,13;$ 85.333,50;$ 3.047,63;5/10/2017;10; October ;2017
Retail Partner;Norway;Hybrid; High ;328;$ 215,00;$ 311,75;$ 102.254,00;$ 25.563,50;$ 76.690,50;$ 74.046,00;$ 2.644,50;5/10/2017;10; October ;2017
Public Sector;Norway;Hybrid; High ;275;$ 215,00;$ 311,75;$ 85.731,25;$ 21.432,81;$ 64.298,44;$ 62.081,25;$ 2.217,19;5/10/2017;10; October ;2017
Individual;France;Hybrid; Low ;257;$ 215,00;$ 311,75;$ 80.119,75;$ 8.011,97;$ 72.107,78;$ 58.017,75;$ 14.090,03;5/11/2017;11; November ;2017
Retail Partner;France;Hybrid; Medium ;245;$ 215,00;$ 311,75;$ 76.378,75;$ 15.275,75;$ 61.103,00;$ 55.308,75;$ 5.794,25;5/12/2017;12; December ;2017
Public Sector;Finland;Hybrid; High ;216;$ 215,00;$ 311,75;$ 67.338,00;$ 16.834,50;$ 50.503,50;$ 48.762,00;$ 1.741,50;5/2/2017;2; February ;2017
Small Business;Germany;Hybrid; Low ;207;$ 215,00;$ 311,75;$ 64.532,25;$ 6.453,23;$ 58.079,03;$ 46.730,25;$ 11.348,78;5/3/2017;3; March ;2017
Small Business;Germany;Cruiser; Medium ;3042;$ 265,00;$ 384,25;$ 1.168.888,50;$ 233.777,70;$ 935.110,80;$ 846.436,50;$ 88.674,30;7/6/2017;6; June ;2017
Corporate;Germany;Cruiser; Medium ;2902;$ 265,00;$ 384,25;$ 1.115.093,50;$ 223.018,70;$ 892.074,80;$ 807.481,50;$ 84.593,30;5/7/2017;7; July ;2017
Public Sector;Germany;Cruiser; High ;2397;$ 265,00;$ 384,25;$ 921.047,25;$ 230.261,81;$ 690.785,44;$ 666.965,25;$ 23.820,19;7/6/2017;6; June ;2017
Public Sector;Germany;Cruiser; High ;2394;$ 265,00;$ 384,25;$ 919.894,50;$ 229.973,63;$ 689.920,88;$ 666.130,50;$ 23.790,38;3/6/2017;6; June ;2017
Public Sector;Germany;Cruiser; Low ;2281;$ 265,00;$ 384,25;$ 876.474,25;$ 87.647,42;$ 788.826,83;$ 634.688,25;$ 154.138,58;5/3/2017;3; March ;2017
Corporate;Germany;Cruiser; Medium ;2238;$ 265,00;$ 384,25;$ 859.951,50;$ 171.990,30;$ 687.961,20;$ 622.723,50;$ 65.237,70;5/7/2017;7; July ;2017
Public Sector;Germany;Cruiser; High ;2187;$ 265,00;$ 384,25;$ 840.354,75;$ 210.088,69;$ 630.266,06;$ 608.532,75;$ 21.733,31;3/6/2017;6; June ;2017
Retail Partner;Germany;Cruiser; Medium ;2178;$ 265,00;$ 384,25;$ 836.896,50;$ 167.379,30;$ 669.517,20;$ 606.028,50;$ 63.488,70;5/11/2017;11; November ;2017
Corporate;Germany;Cruiser; None ;2132;$ 265,00;$ 384,25;$ 819.221,00;    ;$ 819.221,00;$ 593.229,00;$ 225.992,00;3/7/2017;7; July ;2017
Retail Partner;Norway;Cruiser; High ;2129;$ 265,00;$ 384,25;$ 818.068,25;$ 204.517,06;$ 613.551,19;$ 592.394,25;$ 21.156,94;7/5/2017;5; May ;2017
Retail Partner;Sweden;Cruiser; None ;2014;$ 265,00;$ 384,25;$ 773.879,50;    ;$ 773.879,50;$ 560.395,50;$ 213.484,00;5/8/2017;8; August ;2017
Individual;France;Cruiser; Medium ;2001;$ 265,00;$ 384,25;$ 768.884,25;$ 153.776,85;$ 615.107,40;$ 556.778,25;$ 58.329,15;7/3/2017;3; March ;2017
Corporate;Germany;Cruiser; Medium ;2000;$ 265,00;$ 384,25;$ 768.500,00;$ 153.700,00;$ 614.800,00;$ 556.500,00;$ 58.300,00;7/11/2017;11; November ;2017
Small Business;France;Cruiser; Low ;1998;$ 265,00;$ 384,25;$ 767.731,50;$ 76.773,15;$ 690.958,35;$ 555.943,50;$ 135.014,85;3/9/2017;9; September ;2017
Individual;France;Cruiser; None ;1976;$ 265,00;$ 384,25;$ 759.278,00;    ;$ 759.278,00;$ 549.822,00;$ 209.456,00;5/8/2017;8; August ;2017
Public Sector;France;Cruiser; High ;1936;$ 265,00;$ 384,25;$ 743.908,00;$ 185.977,00;$ 557.931,00;$ 538.692,00;$ 19.239,00;7/9/2017;9; September ;2017
Retail Partner;Germany;Cruiser; Medium ;1874;$ 265,00;$ 384,25;$ 720.084,50;$ 144.016,90;$ 576.067,60;$ 521.440,50;$ 54.627,10;5/11/2017;11; November ;2017
Retail Partner;France;Cruiser; Medium ;1874;$ 265,00;$ 384,25;$ 720.084,50;$ 144.016,90;$ 576.067,60;$ 521.440,50;$ 54.627,10;7/11/2017;11; November ;2017
Retail Partner;France;Cruiser; Medium ;1872;$ 265,00;$ 384,25;$ 719.316,00;$ 143.863,20;$ 575.452,80;$ 520.884,00;$ 54.568,80;7/1/2017;1; January ;2017
Public Sector;Germany;Cruiser; High ;1862;$ 265,00;$ 384,25;$ 715.473,50;$ 178.868,38;$ 536.605,13;$ 518.101,50;$ 18.503,63;7/9/2017;9; September ;2017
Retail Partner;Germany;Cruiser; Medium ;1857;$ 265,00;$ 384,25;$ 713.552,25;$ 142.710,45;$ 570.841,80;$ 516.710,25;$ 54.131,55;7/11/2017;11; November ;2017
Public Sector;Germany;Cruiser; High ;1850;$ 265,00;$ 384,25;$ 710.862,50;$ 177.715,63;$ 533.146,88;$ 514.762,50;$ 18.384,38;7/5/2017;5; May ;2017
Small Business;France;Cruiser; Low ;1841;$ 265,00;$ 384,25;$ 707.404,25;$ 70.740,42;$ 636.663,83;$ 512.258,25;$ 124.405,58;3/4/2017;4; April ;2017
Individual;Germany;Cruiser; High ;1840;$ 265,00;$ 384,25;$ 707.020,00;$ 176.755,00;$ 530.265,00;$ 511.980,00;$ 18.285,00;5/8/2017;8; August ;2017
Public Sector;Norway;Cruiser; High ;1804;$ 265,00;$ 384,25;$ 693.187,00;$ 173.296,75;$ 519.890,25;$ 501.963,00;$ 17.927,25;7/7/2017;7; July ;2017
Public Sector;Germany;Cruiser; High ;1782;$ 265,00;$ 384,25;$ 684.733,50;$ 171.183,38;$ 513.550,13;$ 495.841,50;$ 17.708,63;7/1/2017;1; January ;2017
Individual;Norway;Cruiser; Low ;1771;$ 265,00;$ 384,25;$ 680.506,75;$ 68.050,67;$ 612.456,08;$ 492.780,75;$ 119.675,33;3/3/2017;3; March ;2017
Small Business;France;Cruiser; Medium ;1745;$ 265,00;$ 384,25;$ 670.516,25;$ 134.103,25;$ 536.413,00;$ 485.546,25;$ 50.866,75;5/12/2017;12; December ;2017
Individual;France;Cruiser; High ;1726;$ 265,00;$ 384,25;$ 663.215,50;$ 165.803,88;$ 497.411,63;$ 480.259,50;$ 17.152,13;7/12/2017;12; December ;2017
Public Sector;Germany;Cruiser; None ;1717;$ 265,00;$ 384,25;$ 659.757,25;    ;$ 659.757,25;$ 477.755,25;$ 182.002,00;3/9/2017;9; September ;2017
Individual;France;Cruiser; High ;1658;$ 265,00;$ 384,25;$ 637.086,50;$ 159.271,63;$ 477.814,88;$ 461.338,50;$ 16.476,38;7/12/2017;12; December ;2017
Individual;France;Cruiser; Low ;1625;$ 265,00;$ 384,25;$ 624.406,25;$ 62.440,63;$ 561.965,63;$ 452.156,25;$ 109.809,38;3/6/2017;6; June ;2017
Individual;Germany;Cruiser; High ;1625;$ 265,00;$ 384,25;$ 624.406,25;$ 156.101,56;$ 468.304,69;$ 452.156,25;$ 16.148,44;7/3/2017;3; March ;2017
Small Business;Germany;Cruiser; Low ;1617;$ 265,00;$ 384,25;$ 621.332,25;$ 62.133,23;$ 559.199,03;$ 449.930,25;$ 109.268,78;3/6/2017;6; June ;2017
Public Sector;France;Cruiser; Medium ;1581;$ 265,00;$ 384,25;$ 607.499,25;$ 121.499,85;$ 485.999,40;$ 439.913,25;$ 46.086,15;5/12/2017;12; December ;2017
Individual;Germany;Cruiser; Low ;1574;$ 265,00;$ 384,25;$ 604.809,50;$ 60.480,95;$ 544.328,55;$ 437.965,50;$ 106.363,05;5/3/2017;3; March ;2017
Public Sector;Germany;Cruiser; Low ;1566;$ 265,00;$ 384,25;$ 601.735,50;$ 60.173,55;$ 541.561,95;$ 435.739,50;$ 105.822,45;3/2/2017;2; February ;2017
Retail Partner;France;Cruiser; Low ;1521;$ 265,00;$ 384,25;$ 584.444,25;$ 58.444,42;$ 525.999,83;$ 423.218,25;$ 102.781,58;3/6/2017;6; June ;2017
Public Sector;France;Cruiser; None ;1519;$ 265,00;$ 384,25;$ 583.675,75;    ;$ 583.675,75;$ 422.661,75;$ 161.014,00;3/6/2017;6; June ;2017
Small Business;Germany;Cruiser; Low ;1487;$ 265,00;$ 384,25;$ 571.379,75;$ 57.137,98;$ 514.241,78;$ 413.757,75;$ 100.484,03;5/8/2017;8; August ;2017
Corporate;France;Cruiser; Medium ;1486;$ 265,00;$ 384,25;$ 570.995,50;$ 114.199,10;$ 456.796,40;$ 413.479,50;$ 43.316,90;7/11/2017;11; November ;2017
Public Sector;Sweden;Cruiser; Low ;1464;$ 265,00;$ 384,25;$ 562.542,00;$ 56.254,20;$ 506.287,80;$ 407.358,00;$ 98.929,80;3/8/2017;8; August ;2017
Corporate;Finland;Cruiser; High ;1443;$ 265,00;$ 384,25;$ 554.472,75;$ 138.618,19;$ 415.854,56;$ 401.514,75;$ 14.339,81;7/11/2017;11; November ;2017
Public Sector;Germany;Cruiser; Low ;1438;$ 265,00;$ 384,25;$ 552.551,50;$ 55.255,15;$ 497.296,35;$ 400.123,50;$ 97.172,85;3/9/2017;9; September ;2017
Small Business;France;Cruiser; High ;1418;$ 265,00;$ 384,25;$ 544.866,50;$ 136.216,63;$ 408.649,88;$ 394.558,50;$ 14.091,38;7/4/2017;4; April ;2017
Public Sector;France;Cruiser; Medium ;1406;$ 265,00;$ 384,25;$ 540.255,50;$ 108.051,10;$ 432.204,40;$ 391.219,50;$ 40.984,90;3/6/2017;6; June ;2017
Public Sector;Norway;Cruiser; High ;1382;$ 265,00;$ 384,25;$ 531.033,50;$ 132.758,38;$ 398.275,13;$ 384.541,50;$ 13.733,63;7/10/2017;10; October ;2017
Public Sector;Norway;Cruiser; High ;1372;$ 265,00;$ 384,25;$ 527.191,00;$ 131.797,75;$ 395.393,25;$ 381.759,00;$ 13.634,25;3/6/2017;6; June ;2017
Corporate;Germany;Cruiser; Low ;1365;$ 265,00;$ 384,25;$ 524.501,25;$ 52.450,13;$ 472.051,13;$ 379.811,25;$ 92.239,88;5/8/2017;8; August ;2017
Public Sector;France;Cruiser; Medium ;1333;$ 265,00;$ 384,25;$ 512.205,25;$ 102.441,05;$ 409.764,20;$ 370.907,25;$ 38.856,95;7/5/2017;5; May ;2017
Corporate;Norway;Cruiser; Low ;1328;$ 265,00;$ 384,25;$ 510.284,00;$ 51.028,40;$ 459.255,60;$ 369.516,00;$ 89.739,60;3/11/2017;11; November ;2017
